0.00 10.48 0.00 11.30
0.00 10.48 0.00 11.30
0.00 10.48 0.00 11.30
0.00 10.48 0.00 11.30
0.00 10.48 0.00 11.30
0.00 10.48 0.00 11.30
0.00 10.34 0.00 11.30
0.00 10.34 0.00 11.30
0.00 7.85 0.00 11.30
0.00 7.85 0.00 11.30
0.00 7.07 0.00 11.30
0.00 10.34 0.00 11.30
0.00 10.34 0.00 11.30
0.00 10.34 0.00 11.30
0.00 10.34 0.00 11.30
0.00 10.34 0.00 11.30
0.00 9.56 0.00 11.30
0.00 9.56 0.00 11.30
0.00 9.56 0.00 11.30
0.00 9.56 0.00 11.30
0.00 9.56 0.00 11.30
0.00 5.72 0.00 11.30
0.00 5.57 0.00 11.30
0.00 9.97 0.00 11.30
0.00 9.97 0.00 11.30
0.00 9.97 0.00 11.30
0.00 9.97 0.00 11.30
0.00 9.97 0.00 11.30
0.00 9.16 0.00 11.30
0.00 6.68 0.00 11.30
0.00 6.68 0.00 11.30
0.00 11.30 0.00 11.30
0.00 11.30 0.00 11.30
0.00 11.30 0.00 11.30
0.00 11.30 0.00 11.30
0.00 11.30 0.00 11.30
0.00 9.16 0.00 11.30
0.00 8.87 0.00 11.30
0.00 8.87 0.00 11.30
0.00 9.16 0.00 11.30
0.00 9.16 0.00 11.30
0.00 9.16 0.00 11.30
0.00 10.34 0.00 11.30
0.00 10.34 0.00 11.30
0.00 10.08 0.00 11.30
0.00 10.08 0.00 11.30
0.00 10.08 0.00 11.30
0.00 10.08 0.00 11.30
0.00 10.08 0.00 11.30
0.00 8.87 0.00 11.30
0.00 9.56 0.00 11.30
0.00 9.56 0.00 11.30
0.00 9.56 0.00 11.30
0.00 9.56 0.00 11.30
0.00 9.56 0.00 11.30
0.00 8.23 0.00 11.30
0.00 5.83 0.00 11.30
0.00 5.83 0.00 11.30
0.00 5.49 0.00 11.30
0.00 5.49 0.00 11.30
0.00 5.46 0.00 11.30
0.00 5.50 0.00 11.30
0.00 4.77 0.00 11.30
0.00 9.38 0.00 11.30
0.00 9.38 0.00 11.30
0.00 9.38 0.00 11.30
0.00 9.38 0.00 11.30
0.00 10.08 0.00 11.30
0.00 10.08 0.00 11.30
0.00 10.08 0.00 11.30
0.00 10.08 0.00 11.30
0.00 10.08 0.00 11.30
0.00 8.87 0.00 11.30
0.00 8.87 0.00 11.30
0.00 8.87 0.00 11.30
0.00 7.59 0.00 11.30
0.00 5.26 0.00 11.30
0.00 7.59 0.00 11.30
0.00 7.59 0.00 11.30
0.00 7.59 0.00 11.30
0.00 7.59 0.00 11.30
0.00 7.59 0.00 11.30
0.00 7.59 0.00 11.30
0.00 5.73 0.00 11.30
0.00 5.11 0.00 11.30
0.00 5.11 0.00 11.30
0.00 5.11 0.00 11.30
0.00 5.11 0.00 11.30
0.00 5.11 0.00 11.30
0.00 5.40 0.00 11.30
0.00 6.66 0.00 11.30
0.00 6.66 0.00 11.30
0.00 6.66 0.00 11.30
0.00 7.08 0.00 11.30
0.00 9.07 0.00 11.30
0.00 9.07 0.00 11.30
0.00 9.07 0.00 11.30
0.00 4.95 0.00 11.30
0.41 0.41 0.00 11.30
0.41 0.41 0.00 11.30

