-100.00	0.00
-99.00	0.00
-98.00	0.00
-97.00	0.00
-96.00	0.00
-95.00	0.00
-94.00	0.00
-93.00	0.00
-92.00	0.00
-91.00	0.00
-90.00	0.00
-89.00	0.00
-88.00	0.00
-87.00	0.00
-86.00	0.00
-85.00	0.00
-84.00	0.00
-83.00	0.00
-82.00	0.00
-81.00	0.00
-80.00	0.00
-79.00	0.00
-78.00	0.00
-77.00	0.00
-76.00	0.00
-75.00	0.00
-74.00	0.00
-73.00	0.00
-72.00	0.00
-71.00	0.00
-70.00	0.00
-69.00	0.00
-68.00	0.00
-67.00	0.00
-66.00	0.00
-65.00	0.00
-64.00	0.00
-63.00	0.00
-62.00	0.00
-61.00	0.00
-60.00	0.00
-59.00	0.00
-58.00	0.00
-57.00	0.00
-56.00	0.00
-55.00	0.00
-54.00	0.00
-53.00	0.00
-52.00	0.00
-51.00	0.00
-50.00	0.00
-49.00	0.00
-48.00	0.00
-47.00	0.00
-46.00	0.00
-45.00	0.00
-44.00	0.00
-43.00	0.00
-42.00	0.00
-41.00	0.00
-40.00	0.00
-39.00	0.00
-38.00	0.00
-37.00	0.00
-36.00	0.00
-35.00	0.01
-34.00	0.01
-33.00	0.01
-32.00	0.01
-31.00	0.01
-30.00	0.01
-29.00	0.01
-28.00	0.01
-27.00	0.01
-26.00	0.01
-25.00	0.01
-24.00	0.01
-23.00	0.01
-22.00	0.01
-21.00	0.01
-20.00	0.01
-19.00	0.01
-18.00	0.01
-17.00	0.01
-16.00	0.01
-15.00	0.01
-14.00	0.01
-13.00	0.01
-12.00	0.01
-11.00	0.01
-10.00	0.01
-9.00	0.02
-8.00	0.02
-7.00	0.02
-6.00	0.02
-5.00	0.02
-4.00	0.02
-3.00	0.02
-2.00	0.02
-1.00	0.03
0.00	0.03
1.00	0.03
2.00	0.03
3.00	0.04
4.00	0.04
5.00	0.05
6.00	0.05
7.00	0.06
8.00	0.07
9.00	0.08
10.00	0.10
11.00	0.11
12.00	0.12
13.00	0.14
14.00	0.16
15.00	0.18
16.00	0.20
17.00	0.22
18.00	0.25
19.00	0.27
20.00	0.29
21.00	0.32
22.00	0.35
23.00	0.37
24.00	0.40
25.00	0.43
26.00	0.45
27.00	0.48
28.00	0.50
29.00	0.53
30.00	0.56
31.00	0.58
32.00	0.60
33.00	0.62
34.00	0.64
35.00	0.66
36.00	0.69
37.00	0.71
38.00	0.73
39.00	0.75
40.00	0.77
41.00	0.79
42.00	0.81
43.00	0.82
44.00	0.83
45.00	0.84
46.00	0.85
47.00	0.86
48.00	0.88
49.00	0.88
50.00	0.90
51.00	0.90
52.00	0.91
53.00	0.92
54.00	0.92
55.00	0.93
56.00	0.93
57.00	0.93
58.00	0.94
59.00	0.94
60.00	0.94
61.00	0.94
62.00	0.95
63.00	0.95
64.00	0.95
65.00	0.95
66.00	0.96
67.00	0.96
68.00	0.96
69.00	0.96
70.00	0.96
71.00	0.97
72.00	0.97
73.00	0.97
74.00	0.97
75.00	0.97
76.00	0.97
77.00	0.97
78.00	0.97
79.00	0.97
80.00	0.98
81.00	0.98
82.00	0.98
83.00	0.98
84.00	0.98
85.00	0.98
86.00	0.98
87.00	0.98
88.00	0.98
89.00	0.98
90.00	0.98
91.00	0.98
92.00	0.98
93.00	0.99
94.00	0.99
95.00	0.99
96.00	0.99
97.00	0.99
98.00	0.99
99.00	0.99
100.00	0.99
101.00	0.99
102.00	0.99
103.00	0.99
104.00	0.99
105.00	0.99
106.00	0.99
107.00	0.99
108.00	0.99
109.00	0.99
110.00	0.99
111.00	0.99
112.00	0.99
113.00	0.99
114.00	0.99
115.00	0.99
116.00	0.99
117.00	0.99
118.00	0.99
119.00	0.99
120.00	0.99
121.00	0.99
122.00	0.99
123.00	0.99
124.00	0.99
125.00	0.99
